namespace_prefix	namespace_name
tigrfam	TIGRFAMS
tissuelist	Tissue List
togovar	TogoVar
tol	Tree of Life
topdb	TOPDB
topfind	TopFind
toxoplasma	ToxoDB
transyt	TranSyT
treebase	TreeBASE
treefam	TreeFam
tricdb	tricdb
trichdb	TrichDB
tritrypdb	TriTrypDB
ttd.drug	TTD Drug
uberon	UBERON
ubio.namebank	uBio NameBank
umbbd.compound	UM-BBD Compound
umbbd.enzyme	UM-BBD Enzyme
umbbd.pathway	UM-BBD Pathway
umbbd.reaction	UM-BBD Reaction
umbbd.rule	UM-BBD Biotransformation Rule
umls	UMLS
unigene	UniGene
unimod	Unimod
uniparc	UniParc
unipathway.compound	UniPathway Compound
unipathway.reaction	UniPathway Reaction
uniref	UniRef
unists	UniSTS
unite	Unite
uo	Unit Ontology
uspto	USPTO
utrdb	UTRdb
validatordb	ValidatorDB
vario	VariO
vbase2	Vbase2
vbrc	VBRC
vcell	VCell Published Models
vectorbase	VectorBase
vegbank	VegBank
vfb	Virtual Fly Brain
vfdb.gene	VFDB Gene
vfdb.genus	VFDB Genus
vgnc	VGNC
viaf	Virtual International Authority File
vipr	ViPR Strain
viralzone	ViralZone
virsirna	VIRsiRNA
vmhgene	VMH Gene
vmhmetabolite	VMH metabolite
vmhreaction	VMH reaction
wb	WormBase
wb.rnai	WormBase RNAi
wikigenes	WikiGenes
wikipedia.en	Wikipedia (En)
worfdb	Worfdb
wormpep	Wormpep
worms	World Register of Marine Species
xenbase	Xenbase
ydpm	YDPM
yeastintron	Yeast Intron Database v4.3
yetfasco	YeTFasCo
yid	Yeast Intron Database v3
yrcpdr	YRC PDR
zfin	ZFIN Bioentity
zinc	ZINC
